source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,15.00,7,5.740,1.0297
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,22.50,6,4.924,1.0299
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,30.00,18,2.182,1.0082
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,37.50,9,4.100,1.0247
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,45.00,9,4.782,1.0308
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,97.50,3,4.406,1.0310
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,105.00,8,3.365,1.0242
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,112.50,8,4.409,1.0306
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,120.00,15,0.551,1.0083
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,127.50,10,2.144,1.0157
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,135.00,7,4.098,1.0295
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,142.50,11,2.335,1.0001
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,150.00,13,3.184,0.9975
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,157.50,4,4.765,1.0044
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,172.50,6,3.783,1.0278
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,180.00,11,4.185,0.9918
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-172.50,9,3.781,1.0274
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-165.00,8,3.886,1.0273
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-157.50,4,4.064,1.0273
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-150.00,11,3.371,0.9956
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-142.50,5,2.556,1.0219
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-135.00,7,5.281,1.0283
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-127.50,11,5.236,1.0341
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-120.00,25,1.757,1.0176
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-112.50,17,5.498,1.0354
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-105.00,12,5.626,1.0360
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-97.50,15,3.413,1.0257
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-90.00,26,2.387,1.0203
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-82.50,19,3.207,1.0226
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-75.00,20,2.584,1.0199
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-67.50,13,2.059,1.0145
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-60.00,15,1.818,1.0118
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-52.50,17,2.092,1.0117
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-45.00,18,1.908,1.0107
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-37.50,16,1.822,1.0108
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-30.00,20,4.303,1.0287
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-22.50,15,3.422,1.0122
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-15.00,10,1.763,1.0095
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,-7.50,13,2.507,1.0141
rep_arf_m304y61,rep_arf_m304y61,3.913,0.00,12,6.696,1.0198
