source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,axis_ratio,dial_radius_px,hour,marker_shape,foreshortened_axis_deg,tilt_alignment_deg,expected_px_x,expected_px_y,detected_px_x,detected_px_y,px_dx,px_dy,px_dist,px_dist_pct_dial_radius,basis_local_radial,basis_local_tangential,radial_current_pct_r,angular_current_deg,area_norm,anisotropy,rotation_deg,jacobian_curvature_frac
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,11,round,356,64,307.551,400.898,306.736,401.907,-0.8151,1.00878,1.29693,0.663001,-0.00231874,-0.00621074,-0.229298,-0.47529,0.0155494,1.11409,,2.36062e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,12,triangle,356,86,380.734,382.913,380.15,384.068,-0.584309,1.15494,1.29433,0.661675,-0.0058695,-0.00304439,-0.586318,-0.237924,0.0235071,2.09161,1.61184,9.61031e-15
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,1,round,3,63,419.293,425.538,418.479,425.448,-0.814308,-0.0901386,0.819281,0.775688,-0.00315449,-0.00711606,-0.312064,-0.545177,0.0144771,1.23675,,2.83427e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,2,round,3,33,448.114,454.764,447.862,454.671,-0.252274,-0.0922216,0.268602,0.25431,-0.00164732,-0.00194711,-0.164479,-0.148876,0.0154631,1.09402,,2.05981e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,4,round,3,27,447.81,534.36,448.232,534.482,0.421373,0.121887,0.438647,0.415307,0.00403961,-0.00101888,0.40403,-0.0773169,0.0147012,1.07045,,3.43851e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,6,baton,3,87,379.23,567.158,379.877,568.306,0.646771,1.14816,1.31779,1.24768,0.0108136,-0.00618654,1.0841,-0.507949,0.0166285,9.28831,-1.74527,2.28134e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,7,round,3,63,339.723,563.153,340.293,563.295,0.569783,0.142187,0.587256,0.556008,-0.00156223,-0.00535492,-0.15431,-0.409386,0.0147012,1.1777,,2.86405e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,9,baton,3,3,307.2,494.117,306.095,494.728,-1.10548,0.611538,1.26336,1.19613,0.0104809,-0.00580286,1.0505,-0.476675,0.0189591,8.34687,1.57058,2.14062e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,10,round,3,27,311.206,454.331,310.747,455.057,-0.458591,0.72674,0.859335,0.813611,0.000315237,-0.00811536,0.0359065,-0.618859,0.0142978,1.16681,,2.55062e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.76763,0.993032,105.62,12,triangle,3,87,379.807,416.021,378.693,416.358,-1.1138,0.336757,1.1636,1.10169,-0.00321054,-0.0105699,-0.313463,-0.823023,0.0220069,2.13507,0.718601,1.61315e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_00.jpg,4.81874,0.996465,285.247,5,round,334,86,925.498,772.279,912.903,753.449,-12.5946,-18.8298,22.6536,7.94176,-0.0790689,0.00581228,-7.90438,0.495603,0.0117986,1.36633,,1.82199e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_00.jpg,4.81874,0.996465,285.247,6,baton,334,64,818.447,781.836,816.459,768.326,-1.98756,-13.5099,13.6553,4.78717,-0.0472515,0.00723926,-4.72106,0.648319,0.0117371,5.1025,-1.54712,1.77891e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_00.jpg,4.81874,0.996465,285.247,9,baton,334,26,623.79,584.022,639.289,585.459,15.4992,1.43744,15.5657,5.45691,-0.0544213,-0.00457801,-5.44047,-0.414646,0.010674,4.00211,-0.0882297,1.38424e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_01.jpg,13.7608,0.971297,226.256,1,round,143,23,889.885,464.06,902.512,462.737,12.6269,-1.32369,12.6961,5.61139,0.0340262,0.0451439,3.53232,3.29124,0.00862446,6.07076,,2.11812e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_01.jpg,13.7608,0.971297,226.256,2,round,143,7,952.352,527.711,958.021,527.032,5.66813,-0.678667,5.70861,2.52308,0.0235489,0.00959238,2.36083,0.709542,0.0145629,5.03603,,2.07104e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_01.jpg,13.7608,0.971297,226.256,7,round,143,23,723.252,756.368,713.641,752.629,-9.61092,-3.7395,10.3128,4.55803,0.00771219,0.044651,0.902493,3.36803,0.00841935,5.32115,,2.23147e-14
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_01.jpg,13.7608,0.971297,226.256,8,round,143,7,660.785,692.717,661,679.87,0.214988,-12.8469,12.8487,5.67886,-0.029537,0.0482647,-2.79244,3.82729,0.0100016,14.2793,,2.07104e-14
