marker,feature,n,median,mad,p10,p90,min,max
h06,segmentation_confidence,9,0.878582157148599,0.0824717006516561,0.773910643286698,0.9614254608601307,0.7454792226256535,0.976632621116613
h07,angular_residual_deg,9,0.14485543459873895,0.3211595048647027,-0.3043281635395772,0.7066886626299637,-0.41745134004978013,1.6693835552960508
h07,anisotropy,9,1.4457047810220964,0.07620285940459182,1.2531165551322119,1.5561865330660585,1.1699142867809875,1.693302103623539
h07,area_norm,9,0.019319980037681643,0.0019041921921146704,0.01482251807289061,0.021789373557088373,0.013732960595112292,0.02212646642004927
h07,centre_r,9,0.7475884731138838,0.007246177831271239,0.69391184437847,0.755590428023649,0.6752545437488742,0.7586135363376245
h07,centre_t,9,0.0018830215444969878,0.003948135819878046,-0.0039080394652297405,0.00873685472411825,-0.004920279891639956,0.020359644163091106
h07,diameter_over_dial,9,0.15679067170774258,0.007593243755424861,0.13735316650677465,0.16656021112702732,0.13222915270541274,0.1678460366861887
h07,inner_r,9,0.6237712582819455,0.0026005368796857553,0.6221004901876583,0.6662948463857814,0.6211707214022597,0.6704338145053198
h07,inner_t,9,0.0017563921409518568,0.0053911379691810035,-0.043754262006109546,0.008241352196429009,-0.05535963605564255,0.0126166405416136
h07,outer_r,9,0.8307874995371062,0.013488624456683751,0.771498518757031,0.8447612462018119,0.7469755736126997,0.8467017350338999
h07,outer_t,9,0.002601238558747554,0.01001822440847816,-0.01071849743248871,0.023830518306975995,-0.014829941545504072,0.05114138382703609
h07,radial_span,9,0.16497827029260792,0.009681947633502053,0.1493980285693727,0.22179778785142493,0.12580485221044008,0.2235067493561269
h07,segmentation_confidence,9,0.8322611581861368,0.043491112688290534,0.7578356288096034,0.878959964974394,0.7500472482291889,0.8917907413742608
h08,angular_residual_deg,9,0.13249011397866184,0.11947019489559807,-0.27764515944888896,0.7567245300448124,-0.6105837280427977,1.804295142067474
h08,anisotropy,9,1.2505164661945383,0.017222222458928904,1.2331440010790065,1.4560118367121933,1.232543030452595,2.0352694539585947
h08,area_norm,9,0.01921361114269997,0.0014464647140150291,0.01474523664440853,0.020736668304498444,0.013450836060248245,0.02097954023785224
h08,centre_r,9,0.7504876648500027,0.00618938464436547,0.7110857047796652,0.7567763211274315,0.6749887422305068,0.7571734076596849
h08,centre_t,9,0.0017422768428174695,0.0015719709984861052,-0.0034942385443860633,0.009544456410962623,-0.007194481938392783,0.02268440275534378
h08,diameter_over_dial,9,0.15639103758031062,0.0057977428806960385,0.1369840163036551,0.1624838845797529,0.13086248314411003,0.16343800127631278
h08,inner_r,9,0.6654567780281717,0.006549306311846692,0.6377620844317757,0.6722094097254961,0.6212052413797386,0.673022711267407
h08,inner_t,9,0.005547445528237438,0.0029074618972681487,-0.006471417319219963,0.011217405851305776,-0.016388942113497285,0.022267399554506517
h08,outer_r,9,0.8348115552504412,0.005828577174110228,0.7907023388603562,0.8409253123525726,0.7393351210091703,0.8420660320646575
