source_class,feature,n,median,mad,p10,p90,min,max
Chrono24,h11.inner_r,1,0.6712033945945992,0.0,0.6712033945945992,0.6712033945945992,0.6712033945945992,0.6712033945945992
Chrono24,h11.inner_t,1,0.02045789413951854,0.0,0.02045789413951854,0.02045789413951854,0.02045789413951854,0.02045789413951854
Chrono24,h11.outer_r,1,0.8229788168799558,0.0,0.8229788168799558,0.8229788168799558,0.8229788168799558,0.8229788168799558
Chrono24,h11.outer_t,1,0.016932274485708332,0.0,0.016932274485708332,0.016932274485708332,0.016932274485708332,0.016932274485708332
Chrono24,h11.radial_span,1,0.15177542228535656,0.0,0.15177542228535656,0.15177542228535656,0.15177542228535656,0.15177542228535656
Chrono24,h11.segmentation_confidence,1,0.935946926170505,0.0,0.935946926170505,0.935946926170505,0.935946926170505,0.935946926170505
Chrono24,h12.angular_residual_deg,1,0.4291121067291215,0.0,0.4291121067291215,0.4291121067291215,0.4291121067291215,0.4291121067291215
Chrono24,h12.anisotropy,1,1.9748681430918913,0.0,1.9748681430918913,1.9748681430918913,1.9748681430918913,1.9748681430918913
Chrono24,h12.area_norm,1,0.030180603632957992,0.0,0.030180603632957992,0.030180603632957992,0.030180603632957992,0.030180603632957992
Chrono24,h12.axis_residual_deg,1,-7.279144682978966,0.0,-7.279144682978966,-7.279144682978966,-7.279144682978966,-7.279144682978966
Chrono24,h12.centre_r,1,0.7225467848997428,0.0,0.7225467848997428,0.7225467848997428,0.7225467848997428,0.7225467848997428
Chrono24,h12.centre_t,1,0.005411556888772554,0.0,0.005411556888772554,0.005411556888772554,0.005411556888772554,0.005411556888772554
Chrono24,h12.diameter_over_dial,1,0.19602841128127277,0.0,0.19602841128127277,0.19602841128127277,0.19602841128127277,0.19602841128127277
Chrono24,h12.inner_r,1,0.5711954238861814,0.0,0.5711954238861814,0.5711954238861814,0.5711954238861814,0.5711954238861814
Chrono24,h12.inner_t,1,0.004486990781844095,0.0,0.004486990781844095,0.004486990781844095,0.004486990781844095,0.004486990781844095
Chrono24,h12.outer_r,1,0.8267696368906852,0.0,0.8267696368906852,0.8267696368906852,0.8267696368906852,0.8267696368906852
Chrono24,h12.outer_t,1,-0.019876582213590694,0.0,-0.019876582213590694,-0.019876582213590694,-0.019876582213590694,-0.019876582213590694
Chrono24,h12.radial_span,1,0.2555742130045038,0.0,0.2555742130045038,0.2555742130045038,0.2555742130045038,0.2555742130045038
Chrono24,h12.segmentation_confidence,1,0.9079730369656264,0.0,0.9079730369656264,0.9079730369656264,0.9079730369656264,0.9079730369656264
Chrono24,h12.stage3_apex_r_projective,1,0.5743277079747782,0.0,0.5743277079747782,0.5743277079747782,0.5743277079747782,0.5743277079747782
Chrono24,h12.stage3_apex_r_projective_over_round_inner,1,0.8433593362331544,0.0,0.8433593362331544,0.8433593362331544,0.8433593362331544,0.8433593362331544
Chrono24,h12.stage3_apex_r_simple,1,0.5562357596456198,0.0,0.5562357596456198,0.5562357596456198,0.5562357596456198,0.5562357596456198
Chrono24,h12.stage3_apex_tangential_offset_canonical,1,0.011659886553156447,0.0,0.011659886553156447,0.011659886553156447,0.011659886553156447,0.011659886553156447
Chrono24,h12.stage3_apex_to_base_span_projective,1,0.23644458568576188,0.0,0.23644458568576188,0.23644458568576188,0.23644458568576188,0.23644458568576188
Chrono24,h12.stage3_apex_to_base_span_simple,1,0.25637247765083604,0.0,0.25637247765083604,0.25637247765083604,0.25637247765083604,0.25637247765083604
