marker,feature,n,median,mad,p10,p90,min,max
h04,segmentation_confidence,3,0.8190965657668432,0.04959645566397519,0.7390046799560569,0.8587737302980234,0.7189817085033603,0.8686930214308184
h05,angular_residual_deg,3,0.21507577908262476,0.044141414788448685,0.1797626472518658,0.3172493154521902,0.17093436429417608,0.3427926995445816
h05,anisotropy,3,1.2354891499103682,0.20575615978454453,1.056216905584587,1.4000940777380038,1.0113988445031417,1.4412453096949127
h05,area_norm,3,0.018224785873314397,0.0016560921620308415,0.014519160854720214,0.01954965960293907,0.013592754600071668,0.01988087803534524
h05,centre_r,3,0.7461609601021886,0.006498647636602017,0.7200819443222597,0.7513598782114702,0.7135621903772774,0.7526596077387906
h05,centre_t,3,0.002825332218817367,0.0005992532848348997,0.002345929590949447,0.00398042206199517,0.002226078933982467,0.004269194522789621
h05,diameter_over_dial,3,0.15233029268085402,0.0067706818562564275,0.13571040714626437,0.15774683816585916,0.13155543576261697,0.15910097453711045
h05,inner_r,3,0.6635773098069545,0.0034922822831092715,0.6502174972184682,0.666371135633442,0.6468775440713467,0.6670695920900638
h05,inner_t,3,0.001331332267542451,0.0006680177763802586,0.0007969180464382442,0.004077677905856558,0.0006633144911621924,0.004764264315435085
h05,outer_r,3,0.8307585169844791,0.0030184716227327213,0.7902127024012598,0.8331732942826653,0.780076248755455,0.8337769886072118
h05,outer_t,3,0.00022675819943823727,0.0010960574480630147,-0.0006500877590121745,0.005011252061888139,-0.0008692992486247775,0.006207375527500614
h05,radial_span,3,0.16670739651714805,0.0004738106603765502,0.13990044305071628,0.16708644504544928,0.13319870468410833,0.1671812071775246
h05,segmentation_confidence,3,0.8688543698078495,0.03847701548554938,0.83807275741941,0.932318101742056,0.8303773543223001,0.9481840347256076
h06,angular_residual_deg,4,0.2484000130994346,0.2018536693798083,-0.24238028038882645,0.45245731481807355,-0.3685670110840533,0.4557627633263195
h06,anisotropy,4,6.198337866885847,0.8059079509767697,5.234178894306053,8.1827065216535,4.9968023619015165,8.85731577499569
h06,area_norm,4,0.020506691150082888,0.004969954624307377,0.011970970149125001,0.026138472551366757,0.009733684440942829,0.027131212716831492
